LAT	LON	SPEED	COURSE	HEADING	ELAPSED	SHIPNAME	SHIPTYPE	SHIP_ID
14.43578	-166.1723	24	58	58	7	[SAT-AIS]	2	TkRrek56TXlORGt6TnpNeU5Ea3pOdz09LVgzN0o0ZXk1Y0hUeVVLdTM4QVp4eGc9PQ==
14.92028	-24.50363	6			5	[SAT-AIS]	6	TmpBME5EYzBOakEwTkRjME5qQTBOQT09LXZWSS9aWGcwbTQ2blZDOWxQMjFtaWc9PQ==
33.60548	-7.60255	0	128	150	4	SERVETTE	7	6380772
36.04598	-5.31753	17	94	2	3	AQUATONKA	7	758794
7.822257	-85.68494	147	105	105	5	[SAT-AIS]	8	TXpVMk1Ea3lNelUyTURreU16VTJNQT09LXZZeTZnMW41N3Q3NzBzT3ZHajA2Vmc9PQ==
16.70405	-23.17579	183	257	255	2	LIBERDADI	7	747801
32.06884	-119.8986	6	148	229	1	DOMINICA	8	3577306
1.421167	-94.27084	142	231	231	4	[SAT-AIS]	7	TVRFeU5Ua3pNVEV5TlRrek1URXlOUT09LXlNK0lidmEvRGRjaEYzYVZVdzJKOFE9PQ==
49.3927	1.011707	1	229	184	1	STAR LYDIA	7	726696
45.80816	-84.70725				2	1	1	3621176
56.00497	-161.1772				7	[SAT-AIS]	1	TlRVek1qYzFOVFV6TWpjMU5UVXpNZz09LWM5RUM2bGV6ckpxQzVDZTNFeFh3WlE9PQ==
8.526816	-15.37995	47	307	307	7	[SAT-AIS]	7	TXpRM056ZzJNelEzTnpnMk16UTNOdz09LTB5ZWRzSjRBM1RiazlrSVIvMlR5MVE9PQ==
57.48734	8.1405	136	70	65	1	ALBA	8	183806
53.34864	-6.21962	0	263	93	1	AKRA	7	3904036
59.08867	5.903333	0	298	83	1	SANDNES	7	362103
16.84171	-18.56636	128	184	182	1	ASTON	7	6103674
57.90944	-170.9083	30	181	181	7	[SAT-AIS]	2	TlRJMk5qWTFOVEkyTmpZMU5USTJOZz09LVNqM0FzRFpCMTJ3bHZLK0FuRy90OHc9PQ==
64.1908	-15.76348				3	VTS 2515017	0	23517
19.06165	-155.9736	85	160	160	127	OKAY	2	4075102
18.865	-155.8577	76	127	127	7	[SAT-AIS]	2	TkRBeE9UTXdOREF4T1RNd05EQXhPUT09LWhnTi9oWHFZc2tkUVRqNXBmb2xHOGc9PQ==
52.1927	-176.0967	118	253	253	7	[SAT-AIS]	7	T0RReU9EWXdPRFF5T0RZd09EUXlPQT09LUJHR08rYlJOdmJlMU9GeGdUejJONGc9PQ==
48.43181	-170.1449	119	74	74	8	[SAT-AIS]	7	TXpVMU5UazRNelUxTlRrNE16VTFOUT09LUpXc3Z3M3AyTEYvUWI4WjZFMmlTVVE9PQ==
33.82631	-52.72949	108	252	252	8	[SAT-AIS]	7	TXpFek5EUTVNekV6TkRRNU16RXpOQT09LTFDYkRqQi9IQ0VGelNZb3ZZR3o1aHc9PQ==
44.14497	-2.502412	14	188	176	3	DURUCA	8	183718
43.12439	-82.527				3	VTS 3669773	0	25955
44.57781	-79.29411				3	VTS 3160070	0	24908
19.85565	-17.23988	55	307	307	2	ATLAS	2	252521
52.70697	-5.26805	110	17	22	1	TIGRIS	8	712870
17.88833	-82.68	140	326	326	5	[SAT-AIS]	7	TmpNNU56UTBOak01TnpRME5qTTVOdz09LTN1R0JCNzI3SVB3dGMyS2IwVHdBWmc9PQ==
-2.841195	-147.2523	16	274	274	6	[SAT-AIS]	2	TkRZeE5EQTVORFl4TkRBNU5EWXhOQT09LU1BaXk3TUJNb0tVL2FCelhOak5MVlE9PQ==
24.35867	-116.453	190	307	307	110	XIN MEI ZHOU	7	555842
24.6895	-116.9482	188	304	304	3	[SAT-AIS]	7	TWpNME9EWXdNak0wT0RZd01qTTBPQT09LStLVkU5WjlKcTN6YWtibnllTmV5dHc9PQ==
-1.62312	-101.8446	101	275	275	5	[SAT-AIS]	2	TlRnNU5qVTFOVGc1TmpVMU5UZzVOZz09LXp4ZGRJajV2TWpzeDcxaUVmd0dkbEE9PQ==
22.38833	-90.345	130	144	144	5	[SAT-AIS]	7	TlRZd05EazJOVFl3TkRrMk5UWXdOQT09LXdtT0lSRUk1b0ZxcWxxRitnNjgrdkE9PQ==
32.36533	-125.7777	137	121	119	697	PRISCILLA	7	6322495
30.97167	-123.06	140	126	126	3	[SAT-AIS]	7	TXpreE5qTTNNemt4TmpNM016a3hOZz09LTZLRkNubm5jNzZYOVpXb0prVGErbUE9PQ==
