icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
"a4d1e2","N41BB   ","United States",1614114956,1614114956,-84.2915,33.8928,396.24,false,49.73,230.88,-3.9,null,403.86,null,false,0
"76cc63","SIA8029 ","Singapore",1614114964,1614114964,103.6472,1.1258,1638.3,false,155.88,89.62,-6.83,null,1706.88,"0603",false,0
"a4caec","LXJ408  ","United States",1614114963,1614114964,-82.8067,42.7685,1889.76,false,114.84,247.34,0,null,1767.84,"7122",false,0
"a68737","N52GM   ","United States",1614114964,1614114964,-87.4453,30.4083,1638.3,false,56.37,243.43,0,null,1684.02,"1200",false,0
"a7767e","N580G   ","United States",1614114964,1614114964,-72.7697,40.9629,800.1,false,36.33,192.26,0,null,647.7,null,false,0
"a7767b","LXJ580  ","United States",1614114963,1614114964,-84.3926,31.6795,11178.54,false,225.52,182.35,10.73,null,11612.88,null,false,0
"a0cb68","AAL2689 ","United States",1614114783,1614114789,-105.0665,35.6368,10058.4,false,251.8,110.32,0,null,10264.14,null,false,0
"a953c7","N70SB   ","United States",1614114964,1614114964,-81.2403,39.2791,12192,false,234,185.17,-0.33,null,12199.62,null,false,0
"a6a681","N52789  ","United States",1614114964,1614114964,-121.9587,37.7279,975.36,false,64.31,233.13,-1.63,null,998.22,"0314",false,0
"a7ac54","ASA1022 ","United States",1614114964,1614114964,-77.7997,41.8107,12496.8,false,272.66,104.98,0,null,12283.44,"3101",false,0
"a45216","LXJ378  ","United States",1614114964,1614114964,-90.5057,35.3767,13716,false,149.31,243.61,0,null,14036.04,"4211",true,0
"4cab69","MSA82E  ","Ireland",1614114964,1614114964,10.2162,43.4879,9753.6,false,232.83,2.91,-0.33,null,10058.4,"7042",false,0
"a2bbc6","UAL1777 ","United States",1614114964,1614114964,-98.0824,30.3948,10972.8,false,196.39,283.64,0,null,11384.28,"2523",false,0
"344649","BCS8529 ","Spain",1614114964,1614114964,9.3101,47.8507,9144,false,217.93,6.37,-0.33,null,9441.18,"1000",false,0
"7c1687","EQH     ","Australia",1614114963,1614114964,138.4725,-34.7588,403.86,false,52.39,144.59,0,null,464.82,"1200",false,0
"aab2ce","N789JS  ","United States",1614114964,1614114964,-96.1834,32.8124,5974.08,false,193.92,82.84,13.33,null,6195.06,"7045",false,0
"a4fc94","","United States",1614114964,1614114964,-96.7345,32.8613,1676.4,false,121.91,316.54,-5.85,null,1684.02,null,false,0
"abdeec","AAL1281 ","United States",1614114964,1614114964,-87.6022,41.9879,1615.44,false,81.28,270.36,-6.18,null,1539.24,"6710",false,0
"344647","SWT132  ","Spain",1614114961,1614114964,-25.7071,37.7448,274.32,false,54.74,291.5,6.18,null,381,null,false,0
"a07b98","N130EC  ","United States",1614114964,1614114964,-77.1196,36.4217,11277.6,false,213.83,41.98,0,null,11437.62,"3024",false,0
"40038b","IWY431  ","United Kingdom",1614114964,1614114964,-65.3343,18.0637,11277.6,false,233.19,94.3,-0.33,null,11910.06,null,false,0
"a07b8d","N130DS  ","United States",1614114964,1614114964,-97.089,32.6508,449.58,false,44.6,97.29,4.23,null,426.72,null,false,0
"a076d7","EMD29   ","United States",1614114964,1614114964,-104.4551,38.5161,5219.7,false,132.41,155.92,-0.33,null,5295.9,null,false,0
"ae01eb","LUZON41 ","United States",1614114908,1614114909,-98.2966,29.5398,236.22,false,54.93,146.46,-5.53,null,236.22,null,false,0
"400396","IWY766  ","United Kingdom",1614114964,1614114964,-60.9402,13.719,2499.36,false,135.6,294.43,-8.45,null,2598.42,"1730",false,0
"a196c5","N201LS  ","United States",1614114964,1614114964,-81.9521,31.4652,11887.2,false,197.02,345.64,0,null,12306.3,"2175",false,0
"ab358d","N821LA  ","United States",1614114738,1614114745,-117.6961,34.374,2247.9,false,56.92,6.23,-4.88,null,2293.62,null,false,0
"4851af","KLM848  ","Kingdom of the Netherlands",1614114964,1614114964,72.9679,30.8606,11582.4,false,200.28,305.49,-0.33,null,12009.12,null,false,0
"45ce48","AWC6565 ","Denmark",1614114860,1614114864,-1.3198,52.8281,null,true,0,177.19,null,null,null,"7650",false,0
"a05cc7","SKW5573 ","United States",1614114964,1614114964,-86.2519,38.9434,11277.6,false,257.88,147.55,-0.33,null,11391.9,"2771",false,0
"a33e5e","EDV4878 ","United States",1614114964,1614114964,-83.5845,41.8017,4991.1,false,205.43,182.3,11.38,null,4853.94,null,false,0
"a39ef2","EJM333  ","United States",1614114964,1614114964,-112.4927,41.1531,7315.2,false,202.06,321.41,0.98,null,7345.68,"4032",false,0
"a624a6","KPO495  ","United States",1614114964,1614114964,-79.3726,28.9456,11963.4,false,233.91,192.45,-5.85,null,12466.32,null,false,0
"ad0bd1","N94LH   ","United States",1614114963,1614114964,-109.1503,32.3709,11902.44,false,250.94,102.07,-0.33,null,12169.14,"2023",false,0
"acb878","DAL816  ","United States",1614114963,1614114963,-120.35,47.5524,10073.64,false,249.51,89.88,5.2,null,9753.6,"6626",false,0
"ad3198","N94944  ","United States",1614114958,1614114964,-96.9657,30.6103,2567.94,false,54.39,280.35,0,null,2621.28,null,false,0
"0100a3","MSR542  ","Egypt",1614114964,1614114964,22.9155,45.3006,12496.8,false,255.06,125.23,0,null,12694.92,"0112",false,0
"a504d0","UAL579  ","United States",1614114700,1614114700,-87.912,41.9722,null,true,8.75,50.62,null,null,null,"2160",false,0
"4851b0","KLM641  ","Kingdom of the Netherlands",1614114964,1614114964,-73.3336,40.7419,1706.88,false,96.18,297.39,-4.88,null,1546.86,"0715",false,0
"a1c8fa","N214GF  ","United States",1614114964,1614114964,-83.7228,34.1131,2575.56,false,80.45,274.03,0,null,2606.04,null,false,0
"a59ab1","N460MC  ","United States",1614114825,1614114934,-96.8221,31.8145,3131.82,false,117.17,245.35,-13.66,null,3139.44,"7440",false,0
"a744a7","N568AE  ","United States",1614114964,1614114964,-80.2097,26.0478,91.44,false,24.7,91.19,-0.33,null,106.68,null,false,0
"c0193c","        ","Canada",1614114963,1614114963,-79.6284,43.679,null,true,7.72,315,null,null,null,null,false,0
"adab36","DAL1542 ","United States",1614114861,1614114872,-83.6875,37.6022,7688.58,false,172.22,352.62,-9.75,null,7787.64,"2753",false,0
